iter	Passed	Remaining
1300	261783	1750386
1301	261924	1749787
1302	262040	1749017
1303	262195	1748504
1304	262404	1748356
1305	262573	1747945
1306	262765	1747683
1307	262997	1747686
1308	263195	1747466
1309	263403	1747310
1310	263581	1746954
1311	263736	1746451
1312	264011	1746735
1313	264219	1746582
1314	264423	1746398
1315	264653	1746392
1316	264869	1746287
1317	265030	1745820
1318	265234	1745644
1319	265423	1745359
1320	265701	1745663
1321	265905	1745479
1322	266094	1745200
1323	266279	1744894
1324	266502	1744836
1325	266650	1744291
1326	266784	1743649
1327	267050	1743872
1328	267336	1744221
1329	267526	1743947
1330	267657	1743292
1331	267814	1742802
1332	267991	1742450
1333	268143	1741924
1334	268310	1741504
1335	268588	1741804
1336	268776	1741521
1337	268986	1741377
1338	269322	1742045
1339	269639	1742592
1340	269882	1742666
1341	270009	1741983
1342	270148	1741384
1343	270275	1740702
1344	270495	1740624
1345	270794	1741051
1346	271089	1741451
1347	271221	1740804
1348	271392	1740413
1349	271545	1739904
1350	271789	1739976
1351	272020	1739964
1352	272268	1740065
1353	272455	1739770
1354	272642	1739476
1355	272801	1739010
1356	272999	1738790
1357	273166	1738368
1358	273302	1737751
1359	273577	1738022
1360	273793	1737916
1361	274045	1738035
1362	274194	1737505
1363	274358	1737067
1364	274539	1736742
1365	274721	1736416
1366	274889	1736009
1367	275222	1736634
1368	275396	1736262
1369	275678	1736575
1370	275876	1736351
1371	276048	1735967
1372	276154	1735165
1373	276345	1734901
1374	276541	1734667
1375	276708	1734251
1376	276836	1733598
1377	277028	1733336
1378	277229	1733138
1379	277439	1732991
1380	277571	1732357
1381	277761	1732089
1382	277894	1731466
1383	278091	1731239
1384	278286	1731001
1385	278462	1730644
1386	278659	1730419
1387	278851	1730167
1388	279013	1729723
1389	279196	1729413
1390	279344	1728884
1391	279644	1729295
1392	279840	1729066
1393	280032	1728810
1394	280181	1728284
1395	280323	1727726
1396	280524	1727523
1397	280739	1727411
1398	280924	1727114
1399	281133	1726961
1400	281247	1726227
1401	281379	1725605
1402	281589	1725461
1403	281806	1725363
1404	282023	1725264
1405	282248	1725210
1406	282404	1724732
1407	282614	1724591
1408	282778	1724165
1409	283079	1724575
1410	283199	1723883
1411	283393	1723640
1412	283560	1723235
1413	283742	1722922
1414	283964	1722853
1415	284108	1722309
1416	284243	1721709
1417	284434	1721448
1418	284646	1721319
1419	284796	1720814
1420	284979	1720504
1421	285126	1719984
1422	285334	1719829
1423	285466	1719216
1424	285665	1719006
1425	285824	1718557
1426	286150	1719108
1427	286343	1718865
1428	286554	1718727
1429	286711	1718263
1430	286872	1717824
1431	287044	1717456
1432	287195	1716960
1433	287404	1716809
1434	287532	1716178
1435	287704	1715809
1436	287842	1715234
1437	288074	1715224
1438	288268	1714985
1439	288559	1715325
1440	288747	1715051
1441	288932	1714757
1442	289041	1714021
1443	289176	1713431
1444	289306	1712815
1445	289505	1712607
1446	289621	1711910
1447	289784	1711492
1448	289896	1710766
1449	290024	1710142
1450	290186	1709719
1451	290376	1709459
1452	290586	1709318
1453	290732	1708802
1454	290876	1708275
1455	291017	1707731
1456	291182	1707325
1457	291374	1707076
1458	291527	1706602
1459	291820	1706950
1460	291985	1706546
1461	292131	1706032
1462	292304	1705677
1463	292482	1705347
1464	292607	1704715
1465	292789	1704412
1466	292990	1704218
1467	293177	1703943
1468	293279	1703179
1469	293529	1703267
1470	293668	1702719
1471	293886	1702625
1472	294070	1702335
1473	294220	1701846
1474	294427	1701690
1475	294627	1701492
1476	294769	1700962
1477	295024	1701083
1478	295133	1700362
1479	295298	1699962
1480	295523	1699911
1481	295724	1699716
1482	295998	1699946
1483	296364	1700702
1484	296545	1700392
1485	296689	1699874
1486	296921	1699863
1487	297095	1699514
1488	297245	1699030
1489	297381	1698466
1490	297616	1698469
1491	297808	1698225
1492	297986	1697905
